method,rmse,bias,runtime
gnn,46.435002144501716,-2.0267597221750746,0.6555715441703797
pca,12.723758491315266,-12.723758491315266,0.2664556860923767
spectral,78.58915529601177,-78.58915529601177,0.2704151630401611
random,1.806800601020541,-1.8068006010205409,0.13824899196624757
